id,name-first,name-middle,name-last,name-suffix,address-city,address-state,address-street,address-street2,address-number,address-zip,dob,ssn,gender,phone
36, madison,, alfson,, Chaparral, MD,ELLINGTON RD,,229, 48182,6/1/1961, 502904988,F, 5082078160
37, michael,X, speight,, Flagstaff, AZ,MUNNISUNK DR,,37, 85546,1/12/1970, 533127826,F, 8185686029
38, amber,, poturak,, Albuquerque, MO,MUNNISUNK DR,,37, 01545,1/21/1970, 460242969,F, 3860657959
39, shelby,, hinojosa,, Oceanside, AR,SILAS DEANE HWY,,554, 65201,11/22/1978, 222477119,M,
40, mia,, cacic,, Queens, NJ,,,, 45177,11/22/1978, 686034150,M, 7033477509
41, ashleigh,X, kirk,, Evansville, VA,STATE ST,,117, 30032,1/11/1967, 329321208,F, 9499611378
42, charli,, aani,, Kennesaw, NE,STATE ST,,117, 68516,1/11/1967, 174831947,F, 9166004838
43, nicholas,, sclater,, Surprise, OK,MADISON RD,,10, 48207,9/20/1955, 102785805,F, 5101161168
44, genevieve,, sclater,, Peyton, WV,MADISON RD,,10, 06040,9/20/1955, 173761490,F, 5406224041
45, yasmin,, nagalingam,, Walnut Grove, CA,,,, 78840,11/14/1953, 444604462,M, 3194955622
46, jake,, rahimi,, Spring Mill,CA,HIGHWOOD RD,,48, 80620,11/14/1953, 308116942,M, 4082432064
47, mitchell,, quincey,, Detroit, OH,COLEMAN RD,,90, 07032,9/28/1985, 743018551,F, 5597075749
48, thomas,, sreedharan,, Friendship,OH,PLEASANT ST APT 6,,57, 95020,9/28/1985, 241862593,F, 6515451280
49, imogen,, kemp,,ELLINGTON, IN,MAIN ST APT 35,,20,6029,6/29/1952, 135388920,F, 8318290240
50,STEVE,, alderson,,TOPEKA, KS,MAIN ST APT 35,,20,6029,6/29/1952, 456035331,F, 7856643526
